name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Matto Grosso,2021-06-22,16.2,5.3,10.4,16.2,4.9,10.3,8.1,86.21,0,,0,,,,,19.3,54.9,1024.4,46.2,8.8,,,0,,2021-06-22T07:52:33,2021-06-22T17:41:31,0.46,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"SUAA,86580099999,SUMU,86550199999,86585099999,86575099999"
Matto Grosso,2021-06-23,18.1,8.8,13.8,18.1,8.4,13.7,11.3,85.63,0,,0,,,,53.4,29.4,51.5,1017.2,58.9,10.3,,,0,,2021-06-23T07:52:43,2021-06-23T17:41:47,0.49,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SUAA,86580099999,SUMU,86550199999,86585099999,86575099999"
Matto Grosso,2021-06-24,15.3,12.2,13.3,15.3,12.2,13.4,11.6,89.81,5.1,,12.5,,,1,59.4,31.7,215.9,1006.8,62.1,8,,,0,,2021-06-24T07:52:52,2021-06-24T17:42:05,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"SUAA,86580099999,SUMU,86550199999,86585099999,86575099999"
Matto Grosso,2021-06-25,18.6,7.4,12.4,18.6,6.1,12.3,6.6,69.41,0,,0,,,,,17.1,244.1,1014.8,36.4,12,,,0,,2021-06-25T07:53:00,2021-06-25T17:42:23,0.51,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SUAA,86580099999,SUMU,86550199999,86585099999,86575099999"
Matto Grosso,2021-06-26,14.9,6.9,11.1,14.9,5.6,10.9,8,81.59,0,,0,,,,57.6,27.1,111.4,1013.8,67.1,10.8,,,0,,2021-06-26T07:53:05,2021-06-26T17:42:43,0.53,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SUAA,86580099999,SUMU,86550199999,86585099999,86575099999"
Matto Grosso,2021-06-27,10.3,7.2,8.4,10.3,4.5,5.6,5.6,82.76,10.45,,16.67,,,1,57.6,29.1,247.7,1015.9,86.3,9.2,,,0,,2021-06-27T07:53:10,2021-06-27T17:43:05,0.55,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"SUAA,86580099999,SUMU,86550199999,86585099999,86575099999"
Matto Grosso,2021-06-28,8.5,6.9,7.6,5.2,2.2,3.5,5.7,88.43,16.95,,12.5,,,1,68.1,34.9,256.5,1016.3,98.3,7,,,0,,2021-06-28T07:53:13,2021-06-28T17:43:27,0.59,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"SUAA,86580099999,SUMU,86550199999,86585099999,86575099999"
Matto Grosso,2021-06-29,10.5,8.5,9.7,10.5,4.9,7.7,7.8,88.25,0.7,,12.5,,,1,56.9,32.2,222.8,1022.2,98.7,6.6,,,0,,2021-06-29T07:53:14,2021-06-29T17:43:50,0.64,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"SUAA,86580099999,SUMU,86550199999,86585099999,86575099999"
Matto Grosso,2021-06-30,12,8.9,10.5,12,8.6,10.5,7.2,79.89,0,,0,,,0,,16.4,134.8,1027.2,95.6,10.6,,,0,,2021-06-30T07:53:13,2021-06-30T17:44:15,0.69,Overcast,Cloudy skies throughout the day.,cloudy,"SUAA,86580099999,SUMU,86550199999,86585099999,86575099999"
Matto Grosso,2021-07-01,14.8,8.1,10.8,14.8,5.2,10,7.9,82.89,0,,0,,,,,23.3,46.4,1023.6,61.3,11.7,,,0,,2021-07-01T07:53:11,2021-07-01T17:44:41,0.74,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SUAA,86580099999,SUMU,86550199999,86585099999,86575099999"
Matto Grosso,2021-07-02,14,5.7,9.3,14,3.8,8.7,7.1,86.77,0,,0,,,,,18.5,238,1020.4,21.8,9.3,,,0,,2021-07-02T07:53:07,2021-07-02T17:45:08,0.78,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SUAA,86580099999,SUMU,86550199999,86585099999,86575099999"
Matto Grosso,2021-07-03,17,3,8.9,17,-0.6,8.1,2.7,69.43,0,,0,,,,,22.1,246.7,1022.6,0,8.5,,,0,,2021-07-03T07:53:02,2021-07-03T17:45:35,0.83,Clear,Clear conditions throughout the day.,clear-day,"SUAA,86580099999,SUMU,86575099999"
Matto Grosso,2021-07-04,17.2,3,8.9,17.2,0,7.9,3.4,70.74,0,,0,,,,,14.8,196.9,1023.9,4,10.7,,,0,,2021-07-04T07:52:55,2021-07-04T17:46:04,0.88,Clear,Clear conditions throughout the day.,clear-day,"SUAA,86580099999,SUMU,86550199999,86575099999,86585099999"
Matto Grosso,2021-07-05,18,3.7,9.8,18,3.2,9.6,4.6,73.65,0,,0,,,,,13.4,75.5,1025.4,0,8.7,,,0,,2021-07-05T07:52:47,2021-07-05T17:46:34,0.91,Clear,Clear conditions throughout the day.,clear-day,"SUAA,86580099999,SUMU,86550199999,86585099999,86575099999"
Matto Grosso,2021-07-06,18.8,6.9,12.7,18.8,6.9,12.5,10.2,85.86,0,,0,,,,,30.9,38.4,1022.1,55.5,7.1,,,0,,2021-07-06T07:52:36,2021-07-06T17:47:05,0.95,Partially cloudy,Partly cloudy throughout the day.,wind,"SUAA,86580099999,SUMU,86550199999,86585099999,86575099999"
Matto Grosso,2021-07-07,16,12.3,14.4,16,12.3,14.4,11.9,85.12,0.3,,8.33,,,,,23.5,66.3,1018.5,60.7,9.9,,,0,,2021-07-07T07:52:25,2021-07-07T17:47:37,0.97,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"SUAA,86580099999,SUMU,86550199999,86585099999,86575099999"
Matto Grosso,2021-07-08,22.1,10.8,15.8,22.1,10.8,15.8,12.1,80.27,0,,0,,,,,20.2,54.5,1018.8,20.4,10.2,,,0,,2021-07-08T07:52:11,2021-07-08T17:48:09,0.99,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SUAA,86580099999,SUMU,86550199999,86585099999,86575099999"
