name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Goias,2020-02-12,34.2,21.7,25.5,38.1,21.7,26.4,20.7,76.97,0,,0,,,,,28.1,121.7,1011.7,0,,,,0,,2020-02-12T06:15:09,2020-02-12T18:54:19,0.57,Clear,Clear conditions throughout the day.,clear-day,86712099999
Goias,2020-02-13,31.1,21.1,25.4,33.2,21.1,26.2,20.7,77.18,0,,0,,,,,9,167,1012.1,0,,,,0,,2020-02-13T06:15:33,2020-02-13T18:53:54,0.62,Clear,Clear conditions throughout the day.,clear-day,86712099999
Goias,2020-02-14,33.6,21.2,27.2,36.7,21.2,28.6,21,71.33,0,,0,,,,,10.1,169.3,1011.1,0,,,,0,,2020-02-14T06:15:56,2020-02-14T18:53:27,0.67,Clear,Clear conditions throughout the day.,clear-day,86712099999
Goias,2020-02-15,31.6,23.1,26.2,35.9,23.1,27.1,21.4,75.79,0,,0,,,,,16.9,97.7,1011.3,0,,,,0,,2020-02-15T06:16:18,2020-02-15T18:52:59,0.73,Clear,Clear conditions throughout the day.,clear-day,86712099999
Goias,2020-02-16,30.6,22.2,26,34.7,22.2,27.4,22.1,80.01,0,,0,,,,,7.9,160.7,1011.5,0,,,,0,,2020-02-16T06:16:40,2020-02-16T18:52:31,0.78,Clear,Clear conditions throughout the day.,clear-day,86712099999
Goias,2020-02-17,32.7,22.1,25.7,36.1,22.1,26.9,21.7,79.79,0,,0,,,,,11.5,152.3,1011.1,0,,,,0,,2020-02-17T06:17:02,2020-02-17T18:52:02,0.84,Clear,Clear conditions throughout the day.,clear-day,86712099999
Goias,2020-02-18,30.7,22.1,25.3,34.4,22.1,26.1,22.3,84.08,0,,0,,,,,9,181.4,1011.9,0,,,,0,,2020-02-18T06:17:23,2020-02-18T18:51:32,0.88,Clear,Clear conditions throughout the day.,clear-day,86712099999
Goias,2020-02-19,32.6,22.1,26.6,35.9,22.1,27.8,21.4,75.44,0,,0,,,,,12.2,175.7,1009.8,0,,,,0,,2020-02-19T06:17:43,2020-02-19T18:51:01,0.93,Clear,Clear conditions throughout the day.,clear-day,86712099999
Goias,2020-02-20,31.2,21.1,24.8,34.9,21.1,25.4,21.2,81.9,0,,0,,,,,15.5,173.7,1010.4,0,,,,0,,2020-02-20T06:18:03,2020-02-20T18:50:29,0.96,Clear,Clear conditions throughout the day.,clear-day,86712099999
Goias,2020-02-21,30.7,22.6,25.5,32.7,22.6,26.3,21.5,79.93,0,,0,,,,,10.4,189.2,1011.7,0,,,,0,,2020-02-21T06:18:22,2020-02-21T18:49:56,0.98,Clear,Clear conditions throughout the day.,clear-day,86712099999
Goias,2020-02-22,31.6,22.2,25.5,34.7,22.2,26.3,21.4,79.46,0,,0,,,,,10.1,150.5,1012.7,0,,,,0,,2020-02-22T06:18:40,2020-02-22T18:49:23,1,Clear,Clear conditions throughout the day.,clear-day,86712099999
Goias,2020-02-23,31.1,22.6,25.9,34.9,22.6,26.7,21.9,79.61,0,,0,,,,,9,184.7,1012.7,0,,,,0,,2020-02-23T06:18:59,2020-02-23T18:48:49,1,Clear,Clear conditions throughout the day.,clear-day,86712099999
Goias,2020-02-24,26.1,21.6,23.3,26.1,21.6,23.4,21.4,89.07,0,,0,,,,,10.4,146.1,1013.3,0,,,,0,,2020-02-24T06:19:16,2020-02-24T18:48:14,0,Clear,Clear conditions throughout the day.,clear-day,86712099999
Goias,2020-02-25,33.6,21.7,26.3,35.5,21.7,27.1,20.9,75.46,0,,0,,,,,21.6,164.7,1011.5,0,,,,0,,2020-02-25T06:19:33,2020-02-25T18:47:38,0.02,Clear,Clear conditions throughout the day.,clear-day,86712099999
Goias,2020-02-26,32.6,22.6,25.8,36.3,22.6,27.1,22.2,82.61,0,,0,,,,,11.9,202.9,1011.4,0,,,,0,,2020-02-26T06:19:50,2020-02-26T18:47:02,0.04,Clear,Clear conditions throughout the day.,clear-day,86712099999
Goias,2020-02-27,30.2,21.7,25.1,33.5,21.7,26.2,22.4,85.77,0,,0,,,,,11.9,172.5,1010.9,0,,,,0,,2020-02-27T06:20:06,2020-02-27T18:46:25,0.06,Clear,Clear conditions throughout the day.,clear-day,86712099999
Goias,2020-02-28,28.2,22.2,24.4,31.3,22.2,24.7,22.2,87.78,0,,0,,,,,9,121.1,1012.9,0,,,,0,,2020-02-28T06:20:22,2020-02-28T18:45:48,0.1,Clear,Clear conditions throughout the day.,clear-day,86712099999
Goias,2020-02-29,25.2,21.6,23.1,25.2,21.6,23.2,21,88.12,0,,0,,,,,10.4,158,1014.6,0,,,,0,,2020-02-29T06:20:37,2020-02-29T18:45:10,0.14,Clear,Clear conditions throughout the day.,clear-day,86712099999
Goias,2020-03-01,28.2,21.6,24.2,30.6,21.6,24.5,21.2,84.2,0,,0,,,,,12.2,199,1012.9,0,,,,0,,2020-03-01T06:20:52,2020-03-01T18:44:31,0.18,Clear,Clear conditions throughout the day.,clear-day,86712099999
Goias,2020-03-02,30.1,21.7,24.4,33.6,21.7,25,22,87.58,0,,0,,,,,11.5,185.1,1010.8,0,,,,0,,2020-03-02T06:21:07,2020-03-02T18:43:52,0.23,Clear,Clear conditions throughout the day.,clear-day,86712099999
Goias,2020-03-03,31.1,22.2,25.6,34.7,22.2,26.8,21.9,80.87,0,,0,,,,,11.5,158.6,1010.7,0,,,,0,,2020-03-03T06:21:21,2020-03-03T18:43:12,0.28,Clear,Clear conditions throughout the day.,clear-day,86712099999
Goias,2020-03-04,31.2,22.1,25.3,34,22.1,26.1,21.2,79.27,0,,0,,,,,13.3,134.7,1012.3,0,,,,0,,2020-03-04T06:21:34,2020-03-04T18:42:32,0.34,Clear,Clear conditions throughout the day.,clear-day,86712099999
Goias,2020-03-05,29.6,21.7,24.5,32.8,21.7,24.9,21.4,83.68,0,,0,,,,,19.4,153.5,1013.2,0,,,,0,,2020-03-05T06:21:48,2020-03-05T18:41:51,0.38,Clear,Clear conditions throughout the day.,clear-day,86712099999
Goias,2020-03-06,25.6,22.2,23.1,25.6,22.2,23.1,21.7,91.86,0,,0,,,,,7.6,157.2,1012.7,0,,,,0,,2020-03-06T06:22:01,2020-03-06T18:41:10,0.43,Clear,Clear conditions throughout the day.,clear-day,86712099999
Goias,2020-03-07,28.2,20.7,23.3,31.6,20.7,23.6,21,87.26,0,,0,,,,,8.6,139.6,1012,0,,,,0,,2020-03-07T06:22:13,2020-03-07T18:40:29,0.46,Clear,Clear conditions throughout the day.,clear-day,86712099999
Goias,2020-03-08,33.6,21.2,27.1,36.9,21.2,28.7,21,71.84,0,,0,,,,,9.4,165.4,1010.3,0,,,,0,,2020-03-08T06:22:25,2020-03-08T18:39:47,0.49,Clear,Clear conditions throughout the day.,clear-day,86712099999
Goias,2020-03-09,33.1,22.6,26.2,36.5,22.6,27.4,21,74.48,0,,0,,,,,9.4,172.4,1012.4,0,,,,0,,2020-03-09T06:22:37,2020-03-09T18:39:04,0.5,Clear,Clear conditions throughout the day.,clear-day,86712099999
Goias,2020-03-10,33.2,21.1,26.6,34.1,21.1,27.6,20.1,69.93,0,,0,,,,,8.6,174.8,1011.4,0,,,,0,,2020-03-10T06:22:49,2020-03-10T18:38:21,0.51,Clear,Clear conditions throughout the day.,clear-day,86712099999
Goias,2020-03-11,31.2,23.2,26.4,33.2,23.2,27.4,20.7,71.52,0,,0,,,,,12.6,155.9,1010.5,0,,,,0,,2020-03-11T06:23:00,2020-03-11T18:37:38,0.53,Clear,Clear conditions throughout the day.,clear-day,86712099999
Goias,2020-03-12,29.6,21.2,23.4,33.7,21.2,23.8,20.8,85.84,0,,0,,,,,12.6,165.3,1011.9,0,,,,0,,2020-03-12T06:23:11,2020-03-12T18:36:55,0.56,Clear,Clear conditions throughout the day.,clear-day,86712099999
Goias,2020-03-13,33.1,20.6,25.7,39.4,20.6,27.1,20.9,76.65,0,,0,,,,,10.8,168.5,1011.9,0,,,,0,,2020-03-13T06:23:22,2020-03-13T18:36:11,0.6,Clear,Clear conditions throughout the day.,clear-day,86712099999
Goias,2020-03-14,32.7,20.1,25.8,34.6,20.1,26.8,20.7,75.61,0,,0,,,,,16.2,133.3,1012.4,0,,,,0,,2020-03-14T06:23:32,2020-03-14T18:35:28,0.65,Clear,Clear conditions throughout the day.,clear-day,86712099999
Goias,2020-03-15,29.6,21.6,24.5,33.2,21.6,24.9,21.2,82.31,0,,0,,,,,9,152.2,1013.1,0,,,,0,,2020-03-15T06:23:42,2020-03-15T18:34:43,0.71,Clear,Clear conditions throughout the day.,clear-day,86712099999
Goias,2020-03-16,31.7,20.6,25,34.4,20.6,26,20.9,80.2,0,,0,,,,,17.3,162,1013,0,,,,0,,2020-03-16T06:23:52,2020-03-16T18:33:59,0.76,Clear,Clear conditions throughout the day.,clear-day,86712099999
Goias,2020-03-17,32.7,23.2,28.9,34.7,23.2,30.5,20.5,61.85,0,,0,,,,,7.9,212.1,1011.6,0,,,,0,,2020-03-17T06:24:02,2020-03-17T18:33:15,0.81,Clear,Clear conditions throughout the day.,clear-day,86712099999
Goias,2020-03-18,32.6,21.7,26.8,37.3,21.7,28.3,21.6,74.74,0,,0,,,,,10.1,160.9,1011.7,0,,,,0,,2020-03-18T06:24:12,2020-03-18T18:32:30,0.86,Clear,Clear conditions throughout the day.,clear-day,86712099999
Goias,2020-03-19,32.7,23.2,27.1,37.3,23.2,28.7,21.7,73.31,0,,0,,,,,8.3,132.3,1009.9,0,,,,0,,2020-03-19T06:24:21,2020-03-19T18:31:45,0.9,Clear,Clear conditions throughout the day.,clear-day,86712099999
Goias,2020-03-20,24.2,21.1,22.4,24.2,21.1,22.5,21.1,92.24,0,,0,,,,,13.3,83.3,1010.7,0,,,,0,,2020-03-20T06:24:31,2020-03-20T18:31:00,0.94,Clear,Clear conditions throughout the day.,clear-day,86712099999
Goias,2020-03-21,29.7,21.7,24.3,33.3,21.7,24.9,21.8,87.18,0,,0,,,,,15.8,184.7,1011,0,,,,0,,2020-03-21T06:24:40,2020-03-21T18:30:15,0.97,Clear,Clear conditions throughout the day.,clear-day,86712099999
Goias,2020-03-22,30.1,22.6,25.2,33.6,22.6,26,22.1,84.13,0,,0,,,,,8.3,197.3,1012.6,0,,,,0,,2020-03-22T06:24:49,2020-03-22T18:29:30,0.99,Clear,Clear conditions throughout the day.,clear-day,86712099999
